user_id,timestamp,operation,device_id,location_lat,location_lon,login_count_day,is_success,label
U2310,2025-10-25T21:23:15.241738,view_service,DEV_2309_0,24.516338497355882,46.98732292197268,6,1,0
U1856,2025-10-14T17:05:48.650076,login,DEV_1855_1,25.185420635958245,46.022598118570336,3,1,0
U1428,2025-10-17T15:06:03.950282,login,DEV_1427_0,25.26526527999781,46.141780852607056,3,1,0
U235,2025-10-27T15:23:50.783368,login,DEV_234_0,24.037201944302552,46.300441850924614,3,1,0
U22,2025-09-29T06:42:17.279902,login,DEV_21_0,24.329233291066345,46.509712628843744,2,1,0
U1453,2025-10-13T22:12:02.078333,login,DEV_1452_1,24.739800580083642,46.674668399491274,5,1,0
U2325,2025-10-12T02:51:24.478859,view_service,DEV_2324_1,24.447866802411422,46.63597632754243,3,1,0
U534,2025-10-04T12:17:32.582651,reset_password,DEV_533_0,25.01180936957144,47.0117850843242,4,1,0
U1199,2025-10-15T06:41:47.052052,login,DEV_1198_1,24.800311466600103,46.359043553080554,1,1,0
U1748,2025-09-30T17:44:08.611248,change_phone,DEV_1747_0,24.911397827033323,47.03108113255482,1,1,0
U2765,2025-10-24T03:21:32.187526,login,DEV_2764_0,24.33843831012728,46.433208096567995,4,1,0
U3614,2025-10-15T20:18:08.029893,pay_fee,DEV_3613_0,24.892705141948813,46.51499143479203,2,1,0
U933,2025-10-25T06:53:26.447225,login,NEWDEV_87b65b,24.588137236364712,47.09350237092498,2,1,0
U3534,2025-10-18T02:08:11.722495,submit_form,DEV_3533_0,24.330939276679267,47.03298590441018,2,1,0
U1398,2025-10-25T15:11:22.218543,view_service,DEV_1397_1,24.493268628309643,47.01099879916394,3,1,0
U832,2025-10-01T23:20:16.587404,view_service,DEV_831_0,24.86024024275302,46.634428698957564,1,1,0
U1775,2025-10-02T00:22:56.205528,login,DEV_1774_0,24.100347181932396,46.20462463046429,4,1,0
U3829,2025-10-03T06:39:47.896812,view_service,DEV_3828_0,24.8012171379875,47.087772534060484,0,1,0
U1783,2025-10-09T18:03:37.738464,pay_fee,DEV_1782_0,24.628412628515843,47.14268434782864,3,1,0
U3206,2025-10-24T10:52:42.858056,login,DEV_3205_0,24.55643327543633,45.96229224970454,1,1,0
U3810,2025-10-25T20:32:15.338964,submit_form,DEV_3809_1,24.83729827721619,46.36731370967212,1,1,0
U2143,2025-10-14T21:16:49.808526,login,DEV_2142_0,24.518981075146677,47.10744805862368,1,1,0
U1891,2025-10-20T00:18:25.915895,login,DEV_1890_1,24.760919455691216,47.00235034393743,5,1,0
